Feature1,Feature2,...,FeatureN,Label
7,46,0,6,4,37
1,95,1,7,1,68
7,93,1,7,8,88
6,74,1,4,6,60
1,95,1,6,0,67
3,81,1,4,8,63
1,87,0,9,3,65
2,58,1,4,7,32
4,75,1,8,7,57
7,85,1,8,8,78
9,90,0,5,9,87
4,40,1,8,5,22
8,87,0,5,0,80
9,85,0,9,2,85
6,44,1,8,0,36
7,74,1,6,7,68
1,48,0,9,2,23
8,72,0,9,6,70
7,69,1,5,1,60
6,49,1,8,9,41
2,88,1,9,6,65
2,97,1,5,5,74
7,90,1,8,9,82
9,59,0,6,7,50
8,57,0,6,7,52
3,81,0,6,2,60
9,90,0,6,9,88
1,89,1,5,2,69
4,76,0,4,8,58
7,89,0,7,6,86
4,68,0,9,3,51
2,56,1,6,4,38
2,96,1,7,8,77
1,58,1,8,8,34
7,65,1,9,4,58
9,90,0,8,6,88
8,74,1,4,5,67
4,79,1,6,5,64
4,94,0,8,6,79
3,97,1,4,2,77
7,94,1,6,6,86
7,75,1,8,8,70
5,47,1,4,5,30
4,90,1,8,4,77
2,97,1,9,7,78
1,71,1,8,3,47
9,48,1,7,3,43
9,91,1,5,1,89
6,90,0,4,0,77
7,89,1,9,2,85
1,83,0,5,3,59
1,52,0,8,7,25
4,55,1,7,6,40
1,48,1,7,3,19
5,86,1,6,8,73
6,57,1,8,3,46
3,49,0,4,1,34
8,57,1,6,7,54
3,47,1,7,6,32
5,98,0,8,1,82
4,73,0,5,6,59
1,85,1,9,7,64
2,57,0,6,7,34
2,88,0,9,8,67
6,46,1,9,7,38
5,40,1,8,6,28
4,63,0,7,0,43
5,91,1,9,1,80
6,57,1,8,6,41
7,47,1,5,8,39
1,99,0,7,5,76
1,61,0,7,8,35
1,78,0,7,8,53
8,94,1,5,8,85
9,42,0,8,6,41
6,55,0,6,8,43
2,97,0,4,4,73
8,59,0,6,6,54
2,83,0,7,4,59
3,82,0,6,8,64
1,80,0,6,3,55
8,40,0,6,4,30
6,74,1,8,3,61
9,43,1,9,8,42
6,66,1,5,9,59
1,48,1,6,9,24
7,69,0,9,3,57
6,93,1,9,6,86
6,89,1,6,5,80
7,93,1,4,6,84
8,97,1,6,1,92
2,48,1,4,2,26
3,67,1,9,9,50
5,68,0,5,6,53
1,78,0,7,5,51
2,61,1,7,6,40
1,93,1,9,2,66
9,74,1,7,6,72
7,64,1,8,6,56
3,72,0,7,9,54
4,90,0,5,5,70
7,70,0,5,9,61
7,84,1,4,7,74
1,98,0,8,9,70
1,80,0,7,1,56
9,62,0,9,1,55
8,94,1,7,8,89
8,51,0,7,8,43
5,99,0,7,5,89
9,62,0,6,3,55
1,67,0,8,8,42
1,89,1,8,5,63
3,78,1,4,2,53
8,43,1,4,5,35
1,98,0,6,7,74
7,53,0,4,2,41
8,93,0,8,5,88
1,89,0,7,1,61
2,64,0,6,9,42
9,82,0,7,8,81
5,94,0,5,6,81
7,94,1,6,6,88
3,67,1,8,6,52
8,45,1,7,5,35
8,52,0,9,4,47
4,85,1,7,4,64
6,80,1,5,5,67
9,64,1,7,1,61
3,79,1,4,3,57
4,58,1,7,7,43
2,89,0,6,5,68
6,60,0,6,1,47
2,69,0,8,5,49
5,89,1,4,2,75
5,77,0,7,6,63
2,53,1,6,8,26
4,95,0,4,3,77
2,90,0,6,2,66
2,67,0,8,7,47
2,71,0,5,5,46
6,68,1,8,7,54
6,70,0,8,3,63
4,77,1,6,5,58
2,80,1,4,5,55
2,73,1,7,9,49
5,77,0,4,2,63
2,85,1,9,5,64
8,73,1,4,9,68
4,55,0,4,4,36
1,87,1,4,4,63
4,53,1,4,8,35
1,67,1,8,7,45
1,68,0,5,9,45
7,78,0,4,6,68
6,91,1,9,1,79
6,43,1,6,4,27
7,41,0,9,7,37
4,85,0,7,5,66
3,40,1,8,2,18
7,80,1,9,9,74
1,54,1,5,1,29
5,90,0,9,7,74
1,67,0,8,0,42
1,68,1,4,4,42
6,93,0,9,3,78
2,68,1,5,4,47
4,98,0,6,0,78
7,49,1,5,7,43
5,51,0,7,7,39
1,71,1,8,1,44
9,95,0,5,8,90
2,66,1,6,7,47
1,62,1,4,5,32
6,56,0,9,7,50
4,42,1,7,0,23
5,51,1,7,3,37
3,82,0,9,3,59
2,73,1,5,3,53
2,57,0,4,3,35
3,85,0,9,2,62
6,97,0,7,9,85
1,77,0,8,7,51
1,93,0,7,7,68
4,64,1,7,2,48
9,85,1,9,6,85
1,48,1,7,6,25
9,56,1,9,7,55
3,45,0,8,9,23
5,56,1,8,2,42
6,90,1,4,7,81
8,63,1,9,2,58
9,77,1,8,4,77
3,88,1,8,6,72
9,50,1,7,5,51
1,40,0,5,6,13
2,76,0,9,5,53
4,51,1,5,8,36
5,41,1,6,7,27
7,62,0,8,8,54
3,77,0,6,0,59
7,57,1,6,2,48
8,91,1,7,6,90
6,99,0,6,4,87
2,73,1,5,6,51
1,48,0,7,2,20
1,76,0,9,7,53
9,78,1,6,7,74
2,65,0,4,2,41
7,70,0,8,0,60
6,84,0,9,0,75
7,75,0,4,1,65
9,52,1,5,0,49
6,58,1,8,8,49
9,62,1,5,9,56
3,48,1,9,3,28
4,75,1,9,4,56
5,54,0,7,7,38
2,41,1,7,4,17
5,52,1,9,0,40
7,83,1,5,5,74
1,99,0,6,1,73
9,48,1,6,2,48
1,63,1,9,2,39
6,65,0,8,7,54
4,49,1,7,0,31
1,59,1,8,5,34
3,75,0,8,5,57
1,57,1,6,1,29
9,82,1,5,5,81
2,87,1,8,7,62
9,83,0,9,7,83
7,74,1,6,9,66
8,92,0,9,8,88
7,72,1,4,6,61
9,72,1,5,2,66
6,53,0,9,2,39
4,84,1,9,2,67
3,54,0,8,8,34
4,86,0,8,9,68
2,80,0,4,0,52
5,49,1,5,3,34
9,57,0,8,6,56
6,63,0,8,8,51
5,58,0,6,0,43
8,94,0,5,9,88
6,78,0,6,5,66
5,77,1,6,2,62
3,67,0,4,8,49
4,63,0,5,5,45
6,57,1,4,5,42
6,87,1,6,1,75
3,83,1,4,2,63
3,87,1,7,1,66
1,72,0,4,7,47
7,42,0,8,3,33
5,60,0,9,2,42
7,62,1,7,0,53
4,95,1,5,8,79
4,88,0,9,7,72
1,71,1,5,0,45
2,40,0,4,4,20
4,88,0,9,0,73
7,84,0,7,9,76
8,77,1,9,2,73
9,61,0,8,3,56
8,87,0,4,0,79
9,56,1,5,9,56
8,85,0,9,7,79
1,62,1,4,2,37
7,49,1,7,3,38
4,47,0,6,0,27
6,42,1,9,5,32
6,93,1,8,0,86
6,87,0,5,2,72
4,68,1,5,6,50
7,41,1,6,8,35
5,95,1,5,1,80
3,77,1,5,1,54
6,68,1,4,8,57
4,43,1,7,2,23
9,73,1,9,4,72
9,61,0,4,8,57
4,99,0,9,3,85
5,52,1,6,5,36
3,74,0,4,8,52
4,78,0,7,7,60
3,52,1,5,4,33
3,98,0,9,6,81
7,66,0,8,1,59
5,84,1,4,7,70
1,93,1,7,8,68
9,96,0,7,8,94
4,87,0,8,4,67
2,62,0,9,7,40
7,46,0,5,2,36
2,78,1,5,9,56
3,78,0,7,3,59
6,77,0,8,6,67
9,82,0,8,7,77
6,87,1,4,2,74
4,43,0,7,6,26
9,83,1,4,3,79
7,70,0,7,1,59
6,47,1,4,4,33
3,49,0,4,7,26
1,91,0,6,2,64
2,45,1,6,0,19
9,81,1,7,9,82
2,96,0,4,9,73
2,40,1,9,1,16
7,91,0,9,2,82
5,78,1,7,4,63
5,74,1,4,9,59
8,49,0,5,6,41
7,43,1,8,6,38
7,71,1,5,0,60
7,69,0,7,1,58
1,52,1,6,6,25
4,93,0,8,5,74
7,77,0,9,0,63
5,69,0,9,7,55
7,47,1,5,3,39
9,42,1,7,1,40
6,41,1,6,0,28
4,57,1,6,7,40
8,75,0,7,0,69
2,77,0,4,5,51
1,84,0,7,2,58
3,91,1,9,8,69
5,60,0,7,3,44
7,44,0,4,7,30
9,74,1,4,6,74
9,63,1,8,7,64
8,47,1,6,2,42
7,73,0,4,0,61
3,51,0,5,7,30
9,74,0,4,8,71
3,67,1,7,4,49
5,97,0,5,0,82
3,61,1,8,6,42
6,94,1,9,2,84
3,67,0,5,6,47
8,99,1,8,8,95
8,45,1,9,9,44
1,66,1,4,2,38
3,45,0,9,5,26
4,97,1,8,0,77
4,99,0,5,3,83
5,86,1,6,7,72
2,82,0,6,8,55
7,46,1,8,0,36
1,43,0,6,9,17
1,40,1,6,5,11
6,42,0,4,9,30
2,45,0,9,2,20
1,50,0,7,4,24
7,99,0,4,8,89
2,97,0,6,7,74
7,45,1,9,1,38
2,71,0,8,8,52
9,44,1,8,9,42
3,71,1,9,9,51
8,99,0,5,5,92
4,78,1,7,3,60
8,71,1,4,0,64
8,76,1,7,8,74
7,57,0,9,8,49
2,42,0,7,9,16
6,89,1,4,5,80
2,45,1,6,3,21
8,93,1,5,1,86
2,92,0,6,3,67
8,76,0,8,4,77
8,47,1,5,6,42
9,46,0,7,3,41
5,66,0,4,2,52
9,91,1,8,8,92
3,97,0,6,4,75
9,83,1,4,2,78
8,60,0,7,2,52
3,72,1,9,4,55
3,42,1,9,8,21
3,80,0,5,6,60
1,87,1,5,2,59
2,54,1,4,7,29
7,65,0,6,7,53
8,46,0,8,9,39
6,81,1,4,1,67
8,75,0,9,5,74
2,60,1,8,7,37
8,95,0,5,0,89
1,80,0,4,0,55
1,61,0,8,3,33
9,95,0,5,8,92
6,44,1,7,7,34
2,88,0,4,3,66
7,83,0,6,1,71
8,48,1,9,8,39
8,87,1,5,6,82
8,72,0,4,6,64
7,95,1,6,3,89
1,81,1,5,6,57
8,82,1,9,6,82
5,67,1,5,0,50
4,47,0,5,3,29
2,65,0,8,4,42
9,89,0,4,8,87
3,79,1,9,6,66
8,74,1,4,9,65
6,82,1,9,8,70
3,41,1,4,1,15
5,41,0,7,0,23
8,85,0,5,1,80
1,77,0,6,9,52
6,82,0,8,2,71
9,74,0,9,9,73
4,41,1,5,9,24
1,47,0,8,9,24
7,50,1,8,3,44
2,92,0,9,0,69
1,93,0,7,3,69
1,88,1,4,5,63
3,50,0,7,8,29
2,80,0,8,8,58
4,44,0,4,0,25
4,92,0,9,0,73
8,58,0,5,1,49
4,49,1,7,6,33
6,61,1,6,1,47
6,40,1,8,1,27
5,45,0,6,0,30
9,55,1,8,5,56
7,81,0,6,1,69
2,79,1,6,3,54
7,65,1,8,9,55
9,62,0,4,1,60
2,72,0,4,2,49
6,54,1,8,8,44
3,98,0,9,0,80
3,53,0,6,2,31
8,53,1,9,0,48
3,51,1,4,0,29
1,79,1,8,3,54
9,59,1,8,2,54
1,48,0,4,2,19
5,42,0,4,2,23
2,87,1,4,6,59
9,41,1,7,6,39
4,71,0,7,8,55
7,73,0,9,9,66
5,77,1,5,4,62
7,76,0,5,8,69
8,75,1,5,2,69
7,98,1,5,7,90
6,92,1,6,1,80
3,79,1,8,4,60
6,68,0,9,9,57
2,75,0,6,0,49
2,68,0,6,4,43
6,95,0,5,9,85
8,98,1,5,9,97
4,47,1,4,6,25
7,66,0,4,4,57
1,59,1,5,4,34
7,86,0,9,1,78
8,56,0,7,6,47
7,62,0,4,3,48
5,58,0,8,2,44
1,90,0,7,5,63
3,72,0,8,2,54
7,49,0,9,1,40
6,91,0,4,5,74
3,54,1,7,6,32
7,97,1,5,2,84
6,93,0,6,2,79
1,83,1,6,6,60
4,89,1,5,0,69
2,97,0,5,9,73
4,81,0,7,6,66
3,68,1,5,3,47
8,48,0,9,4,40
6,96,1,9,1,88
4,56,1,5,0,38
1,67,0,7,3,39
2,74,0,5,1,51
6,86,0,7,7,75
1,41,1,8,0,13
5,84,1,9,6,73
7,92,0,9,7,86
5,61,0,8,1,49
4,81,0,7,8,66
1,56,1,8,5,33
5,75,1,6,8,62
2,55,1,6,3,29
9,71,0,7,1,67
8,48,0,7,7,40
6,98,0,5,1,84
7,94,0,4,2,81
2,46,0,4,7,22
8,56,0,4,6,51
7,89,0,4,7,80
5,66,0,7,1,49
9,58,1,9,0,55
7,48,1,4,8,41
5,59,0,4,1,41
6,74,0,7,0,60
5,60,0,7,0,44
2,63,1,4,5,41
5,99,0,4,7,82
6,90,1,9,7,84
3,97,0,7,1,78
9,49,0,8,9,48
6,67,1,5,0,56
6,89,1,5,2,80
5,61,0,7,0,47
8,78,1,8,3,71
5,67,1,9,0,56
5,45,1,6,0,28
7,79,0,5,1,67
8,55,0,5,1,46
2,95,1,5,7,78
9,86,1,6,4,83
4,42,1,6,4,23
2,59,0,7,0,34
7,71,0,8,6,66
1,54,0,4,8,27
3,56,1,7,9,34
8,79,0,8,8,75
8,92,0,4,4,83
9,77,0,7,3,74
1,99,1,9,5,74
1,51,0,8,9,22
5,66,0,6,5,51
5,50,0,4,8,36
9,99,0,8,7,95
5,51,1,8,8,39
9,76,0,4,3,71
2,94,1,8,0,70
4,80,0,9,0,65
6,64,1,4,4,53
5,96,1,6,7,79
1,72,0,5,9,46
8,68,0,9,6,65
9,57,0,8,3,52
7,82,0,6,3,72
9,58,1,5,2,56
5,61,1,6,6,47
8,98,0,4,9,92
5,92,0,5,2,77
2,72,1,8,4,47
2,76,1,5,7,53
8,71,1,5,8,67
7,92,0,5,8,84
1,80,1,5,4,56
2,78,1,8,4,54
8,88,0,4,4,78
3,81,1,9,1,60
7,85,0,9,8,78
7,75,0,6,6,66
3,41,0,9,6,22
1,96,0,9,6,75
1,56,1,8,5,31
6,49,1,4,0,38
9,44,1,8,9,44
8,88,1,5,8,84
6,44,1,9,3,30
8,98,1,8,3,93
5,84,1,5,2,69
1,67,1,8,0,38
6,97,1,7,8,87
8,90,0,6,7,84
3,91,0,5,1,69
4,48,0,7,4,27
4,53,0,8,4,36
8,70,0,5,5,59
4,52,0,5,3,35
1,48,1,5,4,24
5,82,1,7,8,68
3,52,1,4,9,30
5,45,1,5,6,31
2,44,1,4,2,17
3,41,0,5,4,17
1,45,0,6,0,18
1,57,1,4,9,32
1,40,1,8,9,18
8,97,0,5,1,87
3,60,0,8,1,39
1,88,0,9,2,65
6,67,1,5,3,57
3,49,0,8,3,32
5,98,1,6,2,84
5,66,1,9,7,54
4,77,1,9,7,62
7,41,1,9,0,32
9,77,0,5,8,73
8,68,0,6,9,64
6,61,1,5,4,48
3,95,0,9,7,73
1,72,0,8,6,49
1,97,0,7,7,71
4,89,1,7,1,72
8,98,1,6,6,92
9,63,1,4,9,61
7,87,0,9,2,80
1,47,0,8,1,24
9,67,1,5,7,64
1,67,0,9,4,38
2,56,0,8,2,29
7,53,0,6,8,42
3,73,0,5,0,50
2,96,1,6,7,72
1,78,0,6,0,54
2,56,0,6,0,33
1,43,0,6,4,16
7,72,0,7,2,62
3,46,0,7,4,26
9,44,0,9,1,41
6,60,1,5,2,47
9,52,1,8,7,49
5,71,0,7,5,55
3,47,1,4,5,28
8,89,1,4,6,84
7,71,0,9,4,66
4,43,0,9,2,25
7,58,0,8,8,48
6,97,1,8,6,88
8,87,1,5,6,78
2,78,1,8,2,58
5,93,0,4,9,78
4,42,1,5,7,27
1,82,1,5,5,54
8,45,0,5,6,34
6,63,1,9,3,53
8,60,1,7,9,55
6,84,1,9,4,76
7,57,0,6,9,53
9,87,1,8,3,84
1,86,0,9,8,60
8,80,1,4,2,70
9,57,1,8,3,51
1,77,0,4,4,48
8,45,0,5,3,38
5,93,1,4,6,78
5,62,0,6,9,48
5,83,0,6,7,71
7,97,0,9,8,88
5,82,1,9,8,69
5,48,1,8,6,35
6,87,1,6,4,74
2,67,1,5,7,41
3,52,0,7,4,33
2,54,0,9,8,33
6,94,1,7,7,86
5,43,1,6,8,32
3,54,1,6,6,34
4,77,1,7,5,60
3,65,0,9,1,45
5,98,0,9,0,84
7,92,1,6,6,85
8,50,1,9,4,45
2,87,1,7,6,64
6,94,1,9,2,89
7,59,0,9,6,52
9,89,0,9,3,88
3,98,0,8,1,80
8,54,1,9,6,50
7,52,0,9,4,47
9,92,1,7,3,93
7,61,1,9,8,55
5,51,0,9,4,34
6,68,0,5,1,56
4,73,1,4,3,59
6,64,0,8,0,52
7,47,0,9,9,40
3,89,1,5,8,68
6,73,1,5,6,61
9,47,1,9,1,47
9,41,0,6,9,37
1,52,0,5,2,26
1,61,1,8,6,39
5,58,1,4,5,44
1,52,0,8,8,25
3,46,1,4,2,21
6,83,0,4,3,71
4,53,1,8,1,37
8,87,0,8,2,82
4,79,1,4,4,58
9,46,0,7,5,43
7,93,1,5,7,85
1,68,0,4,3,42
7,54,0,5,8,47
8,46,1,9,6,44
9,71,1,6,5,66
8,46,0,9,0,41
5,57,1,9,4,42
8,81,1,6,1,74
8,48,1,7,1,38
9,78,1,6,7,75
3,97,1,4,2,77
7,65,1,4,4,58
2,95,1,7,5,72
5,77,0,9,1,59
1,50,0,8,6,22
6,96,0,5,7,85
6,77,0,4,7,66
9,68,1,7,7,63
6,71,1,8,7,59
5,81,0,5,7,67
8,56,0,7,0,50
1,60,1,8,2,31
9,87,1,6,5,85
7,63,0,9,6,54
2,97,0,9,6,75
7,65,1,6,9,57
7,90,1,6,0,81
6,95,1,4,9,84
3,69,1,7,8,52
5,69,1,7,2,58
1,77,1,7,5,53
1,45,0,8,5,21
1,49,1,5,7,24
7,47,0,5,3,36
7,58,1,7,7,53
3,58,0,8,6,40
8,61,0,6,1,51
3,62,0,6,2,40
1,48,1,5,3,18
8,58,1,4,3,53
5,85,0,8,9,68
3,66,1,7,9,44
7,47,0,6,8,38
2,60,0,9,3,38
3,64,0,4,1,43
3,40,0,4,6,19
3,62,0,5,1,43
5,89,0,7,0,77
6,43,1,4,3,30
5,78,1,6,6,65
4,87,1,9,7,73
4,68,0,4,1,46
5,61,1,7,0,45
3,61,0,4,8,41
5,99,0,4,8,85
3,86,1,5,9,69
7,70,0,4,7,62
1,47,1,8,9,25
8,75,0,9,7,67
1,53,1,7,5,26
6,81,1,5,3,69
3,63,1,9,9,45
6,86,1,4,4,77
1,53,0,8,3,26
4,58,1,5,4,37
7,84,1,7,6,77
1,99,1,9,8,77
3,88,0,4,1,71
8,47,1,5,9,43
6,66,1,8,1,55
2,50,1,8,2,28
8,84,0,9,5,80
9,83,0,8,0,80
9,44,1,4,0,41
8,83,0,4,4,77
6,72,1,4,2,61
4,56,0,6,6,37
7,47,1,4,7,39
6,59,0,9,5,47
9,80,0,6,8,76
7,53,1,6,3,47
3,52,0,4,1,28
4,66,1,8,8,49
9,89,0,4,7,84
1,47,1,9,3,21
8,65,1,4,7,59
8,87,0,5,3,79
1,94,1,5,1,70
6,55,0,5,1,43
7,47,0,5,6,39
4,49,1,6,4,28
7,74,1,9,4,69
1,42,1,5,6,17
3,41,0,5,1,21
2,79,0,6,3,56
4,87,1,6,3,73
2,70,1,6,3,47
7,70,0,6,5,62
2,64,0,5,2,39
4,88,1,5,4,69
2,70,0,6,0,43
4,89,0,4,4,72
8,70,1,6,7,64
2,96,0,9,6,74
7,65,0,5,8,58
1,42,1,9,7,17
5,41,0,8,4,26
7,68,0,8,2,59
7,87,1,5,4,74
4,90,1,9,8,76
2,72,1,4,1,49
5,42,0,6,2,26
6,84,0,4,6,72
6,62,1,5,3,52
6,86,0,9,5,76
8,69,0,9,6,61
8,42,0,8,8,38
6,79,0,6,9,65
6,43,0,9,6,30
3,97,1,6,0,78
1,43,0,9,1,18
3,96,1,7,6,75
6,97,1,9,7,87
1,41,0,7,3,12
7,55,1,4,5,43
4,86,1,4,4,68
7,91,0,5,2,82
3,64,0,5,1,42
6,65,1,4,1,56
4,61,0,8,5,44
8,54,0,6,6,48
3,55,0,5,7,36
9,45,0,5,9,43
5,41,1,9,6,29
5,59,1,9,0,43
5,81,0,6,8,66
3,66,0,8,8,46
1,51,1,8,0,26
8,94,0,9,1,90
3,54,1,7,5,33
9,40,1,4,4,35
7,72,0,8,1,59
2,53,1,8,9,33
5,51,1,7,0,37
7,93,1,4,2,85
8,91,0,8,4,84
1,90,1,7,6,66
5,57,0,5,0,40
1,92,1,4,6,67
2,86,1,8,0,61
9,70,1,8,2,69
4,47,1,9,9,28
5,47,0,5,4,30
1,57,0,9,2,33
8,45,1,4,4,39
6,50,0,5,2,35
9,42,1,9,3,37
2,95,0,5,9,71
7,46,0,9,5,36
7,91,0,7,0,79
1,99,1,5,0,71
2,89,1,5,5,66
6,52,1,6,4,40
8,73,0,4,1,66
8,62,0,9,3,57
4,50,0,5,6,33
7,45,0,8,8,36
3,84,1,7,6,67
2,44,1,6,4,20
3,84,1,5,2,63
9,85,1,7,6,89
5,55,1,4,5,39
5,83,0,7,2,70
5,56,1,5,6,39
